# el_label, x, y, sXX, sYY, sZZ, sXY
1.000000000000000000e+00 7.592540740966796875e+01 -1.639742660522460938e+01 -8.266034126281738281e+00 -2.309749364852905273e+00 -3.172734975814819336e+00 -2.643979549407958984e+00
2.000000000000000000e+00 7.572682189941406250e+01 -1.641084480285644531e+01 -3.618851184844970703e+00 8.550848960876464844e-01 -8.291298747062683105e-01 7.852456569671630859e-01
3.000000000000000000e+00 7.552822875976562500e+01 -1.642426300048828125e+01 -4.697108745574951172e+00 -3.396514356136322021e-01 -1.511028051376342773e+00 -3.789824259001761675e-04
4.000000000000000000e+00 7.532964324951171875e+01 -1.643768310546875000e+01 -4.749002456665039062e+00 1.654016524553298950e-01 -1.375080227851867676e+00 1.724683195352554321e-01
5.000000000000000000e+00 7.593502807617187500e+01 -1.645503425598144531e+01 7.238601207733154297e+00 -2.612470865249633789e+00 1.387839198112487793e+00 1.434405684471130371e+00
6.000000000000000000e+00 7.574285125732421875e+01 -1.650685691833496094e+01 3.813825249671936035e-01 3.292939960956573486e-01 2.132029533386230469e-01 1.145159721374511719e+00
7.000000000000000000e+00 7.555067443847656250e+01 -1.655868148803710938e+01 4.197556376457214355e-01 6.521992087364196777e-01 3.215864598751068115e-01 1.860917210578918457e+00
8.000000000000000000e+00 7.535849761962890625e+01 -1.661050415039062500e+01 -6.791109442710876465e-01 2.270808815956115723e-01 -1.356090307235717773e-01 1.047651052474975586e+00
9.000000000000000000e+00 7.595567321777343750e+01 -1.650966644287109375e+01 1.278465557098388672e+01 2.111207246780395508e+00 4.468759059906005859e+00 8.365880966186523438e+00
1.000000000000000000e+01 7.577726745605468750e+01 -1.659791183471679688e+01 6.415007591247558594e+00 1.166024684906005859e+00 2.274309635162353516e+00 4.753334522247314453e+00
1.100000000000000000e+01 7.559885406494140625e+01 -1.668615722656250000e+01 3.384823083877563477e+00 1.884312033653259277e+00 1.580740571022033691e+00 3.700768709182739258e+00
1.200000000000000000e+01 7.542044830322265625e+01 -1.677440452575683594e+01 2.637436866760253906e+00 1.692733883857727051e+00 1.299051165580749512e+00 3.428817987442016602e+00
1.300000000000000000e+01 7.598656463623046875e+01 -1.655923461914062500e+01 1.461948204040527344e+01 8.616491317749023438e+00 6.970791816711425781e+00 1.385256958007812500e+01
1.400000000000000000e+01 7.582875061035156250e+01 -1.668052482604980469e+01 8.280838012695312500e+00 5.361999511718750000e+00 4.092851161956787109e+00 8.827280044555664062e+00
1.500000000000000000e+01 7.567093658447265625e+01 -1.680181503295898438e+01 5.911254405975341797e+00 4.315083980560302734e+00 3.067901611328125000e+00 6.830857276916503906e+00
