# el_label, x, y, sXX, sYY, sZZ, sXY
1.000000000000000000e+00 7.381797790527343750e+01 -6.422575473785400391e+00 -7.359354019165039062e+00 -2.673455238342285156e+00 -3.009842872619628906e+00 -2.855468273162841797e+00
2.000000000000000000e+00 7.362004089355468750e+01 -6.443558216094970703e+00 -3.165928840637207031e+00 1.016250491142272949e+00 -6.449035406112670898e-01 7.194803953170776367e-01
3.000000000000000000e+00 7.342211151123046875e+01 -6.464540958404541016e+00 -4.522943496704101562e+00 -4.397274553775787354e-01 -1.488801240921020508e+00 -5.191255360841751099e-02
4.000000000000000000e+00 7.322417449951171875e+01 -6.485523223876953125e+00 -4.815400123596191406e+00 2.791628837585449219e-01 -1.360871195793151855e+00 6.367865949869155884e-02
5.000000000000000000e+00 7.382978820800781250e+01 -6.479773998260498047e+00 8.245810508728027344e+00 -2.430327892303466797e+00 1.744644761085510254e+00 2.060194015502929688e+00
6.000000000000000000e+00 7.363972473144531250e+01 -6.538888931274414062e+00 8.248370289802551270e-01 3.633656799793243408e-01 3.564608097076416016e-01 1.394425988197326660e+00
7.000000000000000000e+00 7.344966125488281250e+01 -6.598003864288330078e+00 6.361529827117919922e-01 8.863266110420227051e-01 4.567438662052154541e-01 2.146910905838012695e+00
8.000000000000000000e+00 7.325960540771484375e+01 -6.657118320465087891e+00 -7.556748390197753906e-01 3.042549788951873779e-01 -1.354259550571441650e-01 1.387333273887634277e+00
9.000000000000000000e+00 7.385250091552734375e+01 -6.533578872680664062e+00 1.326604557037353516e+01 2.804461717605590820e+00 4.821152210235595703e+00 9.329587936401367188e+00
1.000000000000000000e+01 7.367758941650390625e+01 -6.628563880920410156e+00 6.791923046112060547e+00 1.751563668251037598e+00 2.563045978546142578e+00 5.363509654998779297e+00
1.100000000000000000e+01 7.350267028808593750e+01 -6.723548889160156250e+00 3.456137657165527344e+00 2.129018068313598633e+00 1.675546765327453613e+00 4.247469902038574219e+00
1.200000000000000000e+01 7.332775878906250000e+01 -6.818533897399902344e+00 2.576299190521240234e+00 2.084974288940429688e+00 1.398382067680358887e+00 4.051802158355712891e+00
1.300000000000000000e+01 7.388526153564453125e+01 -6.581932067871093750e+00 1.480451965332031250e+01 1.012405014038085938e+01 7.478570938110351562e+00 1.476905345916748047e+01
1.400000000000000000e+01 7.373218536376953125e+01 -6.709152221679687500e+00 8.299640655517578125e+00 6.241871833801269531e+00 4.362453937530517578e+00 9.623213768005371094e+00
1.500000000000000000e+01 7.357910156250000000e+01 -6.836372375488281250e+00 5.880708217620849609e+00 5.132692813873291016e+00 3.304020166397094727e+00 7.498434066772460938e+00
1.600000000000000000e+01 7.342602539062500000e+01 -6.963592529296875000e+00 3.830702543258666992e+00 4.414083480834960938e+00 2.473435878753662109e+00 6.370916843414306641e+00
1.700000000000000000e+01 7.392680358886718750e+01 -6.622982025146484375e+00 1.267912006378173828e+01 1.903535079956054688e+01 9.514341354370117188e+00 1.804616355895996094e+01
1.800000000000000000e+01 7.380142211914062500e+01 -6.777569770812988281e+00 8.274932861328125000e+00 1.236549758911132812e+01 6.192129135131835938e+00 1.263576602935791016e+01
1.900000000000000000e+01 7.367604064941406250e+01 -6.932156562805175781e+00 5.619442939758300781e+00 9.799820899963378906e+00 4.625779151916503906e+00 1.001142883300781250e+01
2.000000000000000000e+01 7.355066680908203125e+01 -7.086743831634521484e+00 4.219504833221435547e+00 8.399012565612792969e+00 3.785555362701416016e+00 8.689699172973632812e+00
2.100000000000000000e+01 7.397554779052734375e+01 -6.655158996582031250e+00 9.747467041015625000e+00 2.817868804931640625e+01 1.137784671783447266e+01 1.857808113098144531e+01
2.200000000000000000e+01 7.388265991210937500e+01 -6.831197738647460938e+00 6.358897686004638672e+00 1.923246002197265625e+01 7.677407264709472656e+00 1.371092605590820312e+01
2.300000000000000000e+01 7.378977203369140625e+01 -7.007236480712890625e+00 4.544852256774902344e+00 1.543539714813232422e+01 5.994074821472167969e+00 1.137600231170654297e+01
2.400000000000000000e+01 7.369689178466796875e+01 -7.183275222778320312e+00 3.214788675308227539e+00 1.320210647583007812e+01 4.925068378448486328e+00 9.757456779479980469e+00
2.500000000000000000e+01 7.402961730957031250e+01 -6.677231788635253906e+00 6.524410724639892578e+00 3.644734573364257812e+01 1.289152717590332031e+01 1.638146209716796875e+01
2.600000000000000000e+01 7.397278594970703125e+01 -6.867985248565673828e+00 4.391741275787353516e+00 2.587775039672851562e+01 9.080847740173339844e+00 1.294513416290283203e+01
2.700000000000000000e+01 7.391594696044921875e+01 -7.058738708496093750e+00 2.769826412200927734e+00 2.102970504760742188e+01 7.139859676361083984e+00 1.095872974395751953e+01
2.800000000000000000e+01 7.385910797119140625e+01 -7.249492168426513672e+00 1.832163453102111816e+00 1.830025482177734375e+01 6.039725780487060547e+00 9.663320541381835938e+00
2.900000000000000000e+01 7.408695220947265625e+01 -6.688354492187500000e+00 4.678299427032470703e+00 4.282955551147460938e+01 1.425235652923583984e+01 1.224380016326904297e+01
3.000000000000000000e+01 7.406833648681640625e+01 -6.886523246765136719e+00 2.731557607650756836e+00 3.143168067932128906e+01 1.024897098541259766e+01 1.040720653533935547e+01
3.100000000000000000e+01 7.404972839355468750e+01 -7.084692478179931641e+00 1.419716477394104004e+00 2.599637794494628906e+01 8.224828720092773438e+00 9.116659164428710938e+00
3.200000000000000000e+01 7.403111267089843750e+01 -7.282861232757568359e+00 5.462579131126403809e-01 2.257890701293945312e+01 6.937549591064453125e+00 8.131952285766601562e+00
3.300000000000000000e+01 7.414535522460937500e+01 -6.688102722167968750e+00 4.578400135040283203e+00 4.671308898925781250e+01 1.538744735717773438e+01 6.949547290802001953e+00
3.400000000000000000e+01 7.416567993164062500e+01 -6.886103153228759766e+00 2.252977132797241211e+00 3.539109420776367188e+01 1.129322052001953125e+01 6.839308738708496094e+00
3.500000000000000000e+01 7.418600463867187500e+01 -7.084104061126708984e+00 8.515010476112365723e-01 2.962324905395507812e+01 9.142424583435058594e+00 6.124486446380615234e+00
3.600000000000000000e+01 7.420632171630859375e+01 -7.282104969024658203e+00 -1.372493803501129150e-02 2.589664840698242188e+01 7.764876842498779297e+00 5.539560317993164062e+00
