# el_label, x, y, sXX, sYY, sZZ, sXY
1.000000000000000000e+00 7.789620208740234375e+01 -4.895188808441162109e+00 5.319213595793553101e-15 2.279662969625808472e-15 2.279662969625808472e-15 -1.779450542536802071e-14
2.000000000000000000e+00 7.957922363281250000e+01 -4.880930423736572266e+00 -4.572300789937658316e-14 -1.110974715543867897e-13 -4.704614451375536965e-14 -7.640747098068036147e-15
3.000000000000000000e+00 7.709211730957031250e+01 -5.645199775695800781e+00 -3.384765341271633865e-14 7.699576246760278520e-14 1.294443119180662891e-14 4.214816294373022187e-14
4.000000000000000000e+00 7.792307281494140625e+01 -5.638720035552978516e+00 3.208917574476673196e-14 1.967562939832190327e-13 6.865363990195619270e-14 -7.262709178631684970e-14
5.000000000000000000e+00 7.875382995605468750e+01 -5.633569240570068359e+00 -2.380797432978551051e-15 -1.020341711614042562e-15 -1.020341711614042562e-15 3.567702244439520994e-16
6.000000000000000000e+00 7.958459472656250000e+01 -5.629650115966796875e+00 -1.580022564336407837e-14 3.897942285244725136e-14 6.953759755648014976e-15 5.529339176601295522e-15
7.000000000000000000e+00 7.705450439453125000e+01 -4.904270172119140625e+00 -9.546908348503219122e-15 -4.091532088856169105e-15 -4.091532088856169105e-15 6.168780357406269954e-14
8.000000000000000000e+00 7.873770904541015625e+01 -4.887435436248779297e+00 3.896779478414734432e-14 1.082023807033073715e-13 4.415105366267595144e-14 -2.107655141993930448e-14
9.000000000000000000e+00 4.667380142211914062e+01 1.783008193969726562e+01 9.387668864924841872e-14 1.774857116745159891e-13 8.140872280763475355e-14 5.032625588507512460e-14
1.000000000000000000e+01 4.846055984497070312e+01 1.932104110717773438e+01 1.625921619563541753e-13 6.968235125200117341e-14 6.968235125200117341e-14 1.404386471074966017e-14
1.100000000000000000e+01 5.002156448364257812e+01 1.845916557312011719e+01 8.490272016253158638e-15 -4.211226229929379561e-14 -1.008659623787924384e-14 -1.534121543992836290e-13
1.200000000000000000e+01 5.124794387817382812e+01 1.728234863281250000e+01 -3.952071417519242846e-14 -1.693744869021591298e-14 -1.693744869021591298e-14 -1.329958821023879967e-13
1.300000000000000000e+01 5.291247940063476562e+01 1.551353359222412109e+01 1.965159941242147768e-13 1.299720964534345491e-13 9.794642446278936654e-14 -1.275241305782881529e-14
1.400000000000000000e+01 5.340974807739257812e+01 1.487505340576171875e+01 2.505751140434442359e-14 3.309955662420677180e-13 1.068159232939236425e-13 -1.551726141243298107e-13
1.500000000000000000e+01 5.383908462524414062e+01 1.418407154083251953e+01 2.310723227344491093e-13 1.905328921979893009e-13 1.264815617692260918e-13 -1.544907729305808330e-13
1.600000000000000000e+01 5.557143020629882812e+01 1.291847801208496094e+01 -1.019941509722288586e-13 1.621674935179187593e-13 1.805200005320153900e-14 -9.503545682614661372e-14
1.700000000000000000e+01 6.112506103515625000e+01 1.167125701904296875e+01 -2.411478236877522691e-14 1.726688860252331703e-13 4.456623194397033028e-14 -2.522066519657865241e-14
1.800000000000000000e+01 6.029079437255859375e+01 1.319399738311767578e+01 4.483477526956783366e-14 1.107168013953635510e-13 4.666547435473213101e-14 3.876582486007223993e-14
1.900000000000000000e+01 6.094330596923828125e+01 1.325701904296875000e+01 -5.583615099685572403e-14 2.182116961354108736e-14 -1.020449390677462265e-14 -5.786819997797773563e-14
2.000000000000000000e+01 6.109041976928710938e+01 1.564680767059326172e+01 1.634302502356854703e-13 3.445472260363985351e-13 1.523932347501089080e-13 5.328772023790138979e-14
2.100000000000000000e+01 6.191034317016601562e+01 1.793140602111816406e+01 8.033987564841707507e-14 1.030578007372821847e-13 5.501930291570977793e-14 5.056565111289171299e-14
2.200000000000000000e+01 6.369286727905273438e+01 1.962724685668945312e+01 -5.821788228365862294e-14 -1.164524206231920544e-13 -5.240109019442884541e-14 1.191803546043285200e-13
2.300000000000000000e+01 6.421991729736328125e+01 2.033665084838867188e+01 2.407309479524315926e-14 -2.184377082426608441e-13 -5.830938217075282148e-14 -7.123828978973512083e-14
2.400000000000000000e+01 6.310378646850585938e+01 2.555637550354003906e+01 6.112351700086546269e-14 7.194674137055503960e-14 3.992107615617343508e-14 -2.095633203373550163e-14
2.500000000000000000e+01 6.180999755859375000e+01 2.474978637695312500e+01 -2.392597872483224336e-14 -1.025399112408037494e-14 -1.025399112408037494e-14 5.053452095801422295e-14
2.600000000000000000e+01 6.041379547119140625e+01 2.402497863769531250e+01 -1.400261878019629092e-13 1.229925720731134264e-13 -5.110083278698834483e-15 1.058117877578102980e-14
2.700000000000000000e+01 5.621696853637695312e+01 2.392627525329589844e+01 1.063330670801436451e-13 3.413357785439150027e-14 4.213999415798690140e-14 -5.462651679740901378e-14
2.800000000000000000e+01 5.652673339843750000e+01 2.324174880981445312e+01 -4.368215993999849389e-14 1.642828668241280710e-13 3.618021274286523092e-14 -8.120284636760691233e-14
2.900000000000000000e+01 5.523570632934570312e+01 2.505661773681640625e+01 -4.097937775519779752e-15 3.255695138395381383e-14 8.537704167233504948e-15 -5.616414587095511224e-14
3.000000000000000000e+01 5.428311538696289062e+01 2.631385993957519531e+01 -2.542244199714178282e-14 -3.377080719560963951e-14 -1.775797458841883725e-14 -1.518329868300041796e-13
3.100000000000000000e+01 4.596647644042968750e+01 2.614943695068359375e+01 -6.931715807899016535e-14 6.179454327794389745e-14 -2.256783127412812125e-15 1.387508661974566279e-14
