# el_label, x, y, sXX, sYY, sZZ, sXY
1.000000000000000000e+00 1.868996047973632812e+01 4.354629039764404297e+00 4.885595321655273438e+00 -1.412195086479187012e+00 1.042020082473754883e+00 -2.115082502365112305e+00
2.000000000000000000e+00 1.888887596130371094e+01 4.361678123474121094e+00 7.816854953765869141e+00 5.271660685539245605e-01 2.503206253051757812e+00 2.654367685317993164e-01
3.000000000000000000e+00 1.908779144287109375e+01 4.368727207183837891e+00 6.447319984436035156e+00 -2.408586442470550537e-01 1.861938357353210449e+00 -1.920267790555953979e-01
4.000000000000000000e+00 1.928670883178710938e+01 4.375776767730712891e+00 5.785022735595703125e+00 4.802787303924560547e-02 1.749915242195129395e+00 4.717837274074554443e-02
5.000000000000000000e+00 1.868219184875488281e+01 4.412515163421630859e+00 1.489071559906005859e+01 -1.936471104621887207e+00 3.886273145675659180e+00 1.993536055088043213e-01
6.000000000000000000e+00 1.887593078613281250e+01 4.458154678344726562e+00 9.451532363891601562e+00 1.364855170249938965e-01 2.876405239105224609e+00 5.315001010894775391e-01
7.000000000000000000e+00 1.906966781616210938e+01 4.503794193267822266e+00 8.781926155090332031e+00 2.648352682590484619e-01 2.714028358459472656e+00 1.216531634330749512e+00
8.000000000000000000e+00 1.926340484619140625e+01 4.549434185028076172e+00 7.331222534179687500e+00 -2.255491167306900024e-02 2.192600250244140625e+00 8.854693770408630371e-01
9.000000000000000000e+00 1.866330337524414062e+01 4.467781066894531250e+00 1.840206336975097656e+01 7.570570707321166992e-01 5.747736454010009766e+00 4.891641616821289062e+00
1.000000000000000000e+01 1.884444999694824219e+01 4.550264835357666016e+00 1.283003520965576172e+01 4.132089316844940186e-01 3.972973346710205078e+00 2.863781929016113281e+00
1.100000000000000000e+01 1.902559661865234375e+01 4.632748603820800781e+00 9.815007209777832031e+00 9.024107456207275391e-01 3.215225458145141602e+00 2.525866508483886719e+00
1.200000000000000000e+01 1.920674133300781250e+01 4.715232372283935547e+00 8.471858024597167969e+00 7.385118603706359863e-01 2.763110876083374023e+00 2.559972763061523438e+00
1.300000000000000000e+01 1.863401794433593750e+01 4.518312454223632812e+00 1.941855430603027344e+01 4.743056774139404297e+00 7.248483180999755859e+00 8.709227561950683594e+00
