# el_label, x, y, sXX, sYY, sZZ, sXY
1.000000000000000000e+00 5.662155914306640625e+01 3.460263824462890625e+01 -6.408520857803523540e-04 1.701904147921595722e-05 -1.871499116532504559e-04 -8.375404831895139068e-06
2.000000000000000000e+00 5.648379135131835938e+01 3.387492752075195312e+01 -9.232959710061550140e-04 6.501560710603371263e-05 -2.574841200839728117e-04 -1.527954009361565113e-04
3.000000000000000000e+00 5.571845626831054688e+01 3.398872375488281250e+01 -7.486711838282644749e-04 6.229137943591922522e-05 -2.059139515040442348e-04 -1.752098614815622568e-04
4.000000000000000000e+00 5.801555252075195312e+01 3.365230941772460938e+01 -1.227296073921024799e-03 6.125980871729552746e-05 -3.498108999338001013e-04 -7.483822264475747943e-05
5.000000000000000000e+00 5.812237167358398438e+01 3.438455963134765625e+01 -1.032841973938047886e-03 7.705638381594326347e-06 -3.075409040320664644e-04 5.543583756661973894e-05
6.000000000000000000e+00 5.737181472778320312e+01 3.449321365356445312e+01 -8.393822936341166496e-04 1.309501749346964061e-05 -2.478861715644598007e-04 2.329319613636471331e-05
7.000000000000000000e+00 5.724952316284179688e+01 3.376323318481445312e+01 -1.087820972315967083e-03 7.127162098186090589e-05 -3.049648075830191374e-04 -1.157858860096894205e-04
8.000000000000000000e+00 5.587170028686523438e+01 3.471416091918945312e+01 -4.393011040519922972e-04 1.818308919609989971e-05 -1.263354060938581824e-04 -3.731089600478298962e-05
9.000000000000000000e+00 6.036611557006835938e+01 3.409850692749023438e+01 -1.420555869117379189e-03 -5.399142992246197537e-06 -4.277865227777510881e-04 1.285287289647385478e-04
1.000000000000000000e+01 6.028128051757812500e+01 3.336336135864257812e+01 -1.518089673481881618e-03 3.244752952014096081e-05 -4.456926544662564993e-04 5.928254540776833892e-05
1.100000000000000000e+01 5.877515792846679688e+01 3.354987716674804688e+01 -1.347524696029722691e-03 5.277488889987580478e-05 -3.884249308612197638e-04 -2.524514638935215771e-05
1.200000000000000000e+01 6.103430938720703125e+01 3.327088928222656250e+01 -1.553448615595698357e-03 1.379070181428687647e-05 -4.618973762262612581e-04 9.630453132558614016e-05
1.300000000000000000e+01 6.111344909667968750e+01 3.400674057006835938e+01 -1.512767630629241467e-03 -1.456855625292519107e-05 -4.582008405122905970e-04 1.412382407579571009e-04
1.400000000000000000e+01 5.961875534057617188e+01 3.419079971313476562e+01 -1.317876158282160759e-03 7.768790055706631392e-07 -3.951297840103507042e-04 1.050374121405184269e-04
1.500000000000000000e+01 5.887139129638671875e+01 3.428361511230468750e+01 -1.194538548588752747e-03 2.188494647725747200e-07 -3.582958888728171587e-04 8.051691838772967458e-05
1.600000000000000000e+01 5.952822113037109375e+01 3.345635986328125000e+01 -1.443518558517098427e-03 4.322225868236273527e-05 -4.200889088679105043e-04 2.152138586097862571e-05
1.700000000000000000e+01 6.330451965332031250e+01 3.306448745727539062e+01 -1.524336519651114941e-03 -3.564923645171802491e-06 -4.583704576361924410e-04 1.873096771305426955e-04
1.800000000000000000e+01 6.254696655273437500e+01 3.312799835205078125e+01 -1.560478238388895988e-03 1.186134909403335769e-06 -4.677876131609082222e-04 1.698307023616507649e-04
1.900000000000000000e+01 6.178956222534179688e+01 3.319244766235351562e+01 -1.566919614560902119e-03 2.620105760797741823e-06 -4.692898655775934458e-04 1.390294200973585248e-04
2.000000000000000000e+01 6.406219482421875000e+01 3.300191879272460938e+01 -1.458953716792166233e-03 -1.444454028387553990e-05 -4.420194891281425953e-04 2.057175443042069674e-04
2.100000000000000000e+01 6.336417388916015625e+01 3.380208206176757812e+01 -1.493595773354172707e-03 -1.010633513942593709e-05 -4.511106235440820456e-04 1.452831929782405496e-04
