# el_label, x, y, sXX, sYY, sZZ, sXY
1.000000000000000000e+00 2.633811759948730469e+01 -1.567413806915283203e+01 -2.871465444564819336e+00 -2.027591943740844727e+00 -1.469717264175415039e+00 1.987821221351623535e+00
2.000000000000000000e+00 2.620440101623535156e+01 -1.552670192718505859e+01 -5.747441649436950684e-01 -1.290538072586059570e+00 -5.595846772193908691e-01 1.103705048561096191e+00
3.000000000000000000e+00 2.607068443298339844e+01 -1.537926578521728516e+01 -9.037131071090698242e-01 -1.403482913970947266e+00 -6.921588182449340820e-01 9.563398957252502441e-01
4.000000000000000000e+00 2.593696975708007812e+01 -1.523182964324951172e+01 -6.942212581634521484e-01 -1.454726338386535645e+00 -6.446842551231384277e-01 1.089089751243591309e+00
5.000000000000000000e+00 2.629890060424804688e+01 -1.571741771697998047e+01 -1.001961827278137207e+00 -1.271748542785644531e-01 -3.387410044670104980e-01 -1.157624274492263794e-01
6.000000000000000000e+00 2.613903808593750000e+01 -1.559883594512939453e+01 -7.422236800193786621e-01 -9.648486971855163574e-01 -5.121217370033264160e-01 6.867009401321411133e-01
7.000000000000000000e+00 2.597917747497558594e+01 -1.548025417327880859e+01 -2.311464846134185791e-01 -1.233953595161437988e+00 -4.395300149917602539e-01 6.890479326248168945e-01
8.000000000000000000e+00 2.581931686401367188e+01 -1.536167240142822266e+01 -4.729746878147125244e-01 -1.456132888793945312e+00 -5.787322521209716797e-01 7.771301269531250000e-01
9.000000000000000000e+00 2.626885795593261719e+01 -1.576750564575195312e+01 1.508864402770996094e+00 -2.843320369720458984e-01 3.673596978187561035e-01 -7.808580994606018066e-01
1.000000000000000000e+01 2.608897018432617188e+01 -1.568231582641601562e+01 4.040700793266296387e-01 -8.948443531990051270e-01 -1.472322791814804077e-01 -7.827664166688919067e-02
1.100000000000000000e+01 2.590908050537109375e+01 -1.559712505340576172e+01 2.511729001998901367e-01 -1.296496629714965820e+00 -3.135971128940582275e-01 4.744272232055664062e-01
1.200000000000000000e+01 2.572919273376464844e+01 -1.551193523406982422e+01 1.915566027164459229e-01 -1.694319128990173340e+00 -4.508287608623504639e-01 6.653668284416198730e-01
1.300000000000000000e+01 2.624914360046386719e+01 -1.582248401641845703e+01 3.671800851821899414e+00 -7.237666249275207520e-01 8.844102621078491211e-01 -8.263234496116638184e-01
1.400000000000000000e+01 2.605611228942871094e+01 -1.577394580841064453e+01 1.971861004829406738e+00 -1.197662591934204102e+00 2.322595268487930298e-01 -2.309188805520534515e-02
1.500000000000000000e+01 2.586308097839355469e+01 -1.572540760040283203e+01 1.140451669692993164e+00 -1.686301112174987793e+00 -1.637548208236694336e-01 3.542599678039550781e-01
1.600000000000000000e+01 2.567004776000976562e+01 -1.567686843872070312e+01 7.942361831665039062e-01 -1.917030930519104004e+00 -3.368384242057800293e-01 7.327625751495361328e-01
1.700000000000000000e+01 2.624051094055175781e+01 -1.588024806976318359e+01 5.771763801574707031e+00 -8.231928944587707520e-01 1.484571337699890137e+00 1.183487549424171448e-01
1.800000000000000000e+01 2.604172134399414062e+01 -1.587021923065185547e+01 3.159290790557861328e+00 -1.730736494064331055e+00 4.285663068294525146e-01 3.370556533336639404e-01
1.900000000000000000e+01 2.584293365478515625e+01 -1.586019039154052734e+01 2.168227672576904297e+00 -1.837345361709594727e+00 9.926468878984451294e-02 8.165426850318908691e-01
2.000000000000000000e+01 2.564414405822753906e+01 -1.585016155242919922e+01 1.368453264236450195e+00 -2.382658720016479492e+00 -3.042616248130798340e-01 1.020612835884094238e+00
2.100000000000000000e+01 2.624328613281250000e+01 -1.593858718872070312e+01 6.971774578094482422e+00 -1.248710513114929199e+00 1.716919183731079102e+00 1.355751872062683105e+00
2.200000000000000000e+01 2.604635047912597656e+01 -1.596745204925537109e+01 4.181520462036132812e+00 -1.263339519500732422e+00 8.754541873931884766e-01 1.333413481712341309e+00
2.300000000000000000e+01 2.584941291809082031e+01 -1.599631690979003906e+01 2.703930139541625977e+00 -2.410273551940917969e+00 8.809693902730941772e-02 1.356963038444519043e+00
2.400000000000000000e+01 2.565247535705566406e+01 -1.602518081665039062e+01 1.917465806007385254e+00 -2.227803468704223633e+00 -9.310129284858703613e-02 1.737705349922180176e+00
2.500000000000000000e+01 2.625736808776855469e+01 -1.599527072906494141e+01 7.733490467071533203e+00 -5.181995406746864319e-02 2.304501295089721680e+00 2.854981184005737305e+00
2.600000000000000000e+01 2.606981849670410156e+01 -1.606192398071289062e+01 4.509379386901855469e+00 -1.433538079261779785e+00 9.227523207664489746e-01 2.498519659042358398e+00
2.700000000000000000e+01 2.588227081298828125e+01 -1.612857627868652344e+01 2.860983371734619141e+00 -1.450468897819519043e+00 4.231543242931365967e-01 2.196908235549926758e+00
2.800000000000000000e+01 2.569472122192382812e+01 -1.619523048400878906e+01 1.768568158149719238e+00 -2.838774204254150391e+00 -3.210618197917938232e-01 2.282394170761108398e+00
2.900000000000000000e+01 2.628221511840820312e+01 -1.604812812805175781e+01 7.335826396942138672e+00 9.029208421707153320e-01 2.471624135971069336e+00 4.444915771484375000e+00
3.000000000000000000e+01 2.611123085021972656e+01 -1.615001869201660156e+01 4.513391494750976562e+00 -2.035967111587524414e-01 1.292938351631164551e+00 3.366954088211059570e+00
3.100000000000000000e+01 2.594024658203125000e+01 -1.625190925598144531e+01 2.527316808700561523e+00 -1.181102752685546875e+00 4.038642644882202148e-01 3.350526571273803711e+00
