# el_label, x, y, sXX, sYY, sZZ, sXY
1.000000000000000000e+00 3.722503280639648438e+01 -6.963018417358398438e+00 -1.144368350505828857e-01 -1.345690369606018066e+00 -4.380381703376770020e-01 -2.211529493331909180e+00
2.000000000000000000e+00 3.742392730712890625e+01 -6.970668792724609375e+00 3.497055292129516602e+00 5.288299322128295898e-01 1.207765579223632812e+00 3.972162306308746338e-01
3.000000000000000000e+00 3.762282180786132812e+01 -6.978318691253662109e+00 2.046752691268920898e+00 -2.062354534864425659e-01 5.521551966667175293e-01 -1.974491029977798462e-01
4.000000000000000000e+00 3.782171630859375000e+01 -6.985969066619873047e+00 1.667106866836547852e+00 2.778907679021358490e-02 5.084687471389770508e-01 5.232928693294525146e-02
5.000000000000000000e+00 3.722156143188476562e+01 -6.904717445373535156e+00 1.250950050354003906e+01 -2.235002994537353516e+00 3.082349300384521484e+00 -1.080980300903320312e-01
6.000000000000000000e+00 3.741813659667968750e+01 -6.873499870300292969e+00 6.323540210723876953e+00 1.876432299613952637e-01 1.953355073928833008e+00 5.242612957954406738e-01
7.000000000000000000e+00 3.761471557617187500e+01 -6.842282295227050781e+00 5.998356342315673828e+00 2.129452228546142578e-01 1.863390445709228516e+00 1.163657426834106445e+00
8.000000000000000000e+00 3.781129074096679688e+01 -6.811064720153808594e+00 4.415167331695556641e+00 -8.471431583166122437e-02 1.299135923385620117e+00 7.849531173706054688e-01
9.000000000000000000e+00 3.720679855346679688e+01 -6.848207950592041016e+00 1.779037475585937500e+01 3.855462372303009033e-01 5.452776432037353516e+00 5.438342571258544922e+00
1.000000000000000000e+01 3.739353942871093750e+01 -6.779317378997802734e+00 1.138431835174560547e+01 3.395858108997344971e-01 3.517171144485473633e+00 3.085502862930297852e+00
1.100000000000000000e+01 3.758028030395507812e+01 -6.710427284240722656e+00 8.180384635925292969e+00 9.254198074340820312e-01 2.731741428375244141e+00 2.671215772628784180e+00
1.200000000000000000e+01 3.776701736450195312e+01 -6.641536712646484375e+00 7.179766178131103516e+00 5.729871988296508789e-01 2.325825929641723633e+00 2.712001085281372070e+00
1.300000000000000000e+01 3.718132400512695312e+01 -6.795652866363525391e+00 1.994574928283691406e+01 4.835052013397216797e+00 7.434240818023681641e+00 1.025435733795166016e+01
1.400000000000000000e+01 3.735107803344726562e+01 -6.691725730895996094e+00 1.323004436492919922e+01 2.899598836898803711e+00 4.838892936706542969e+00 6.605777263641357422e+00
1.500000000000000000e+01 3.752083206176757812e+01 -6.587798595428466797e+00 1.045583438873291016e+01 2.465815305709838867e+00 3.876494884490966797e+00 5.282483100891113281e+00
1.600000000000000000e+01 3.769058609008789062e+01 -6.483871459960937500e+00 8.335987091064453125e+00 2.079308509826660156e+00 3.124588727951049805e+00 4.543463706970214844e+00
1.700000000000000000e+01 3.714610290527343750e+01 -6.749063491821289062e+00 1.889846801757812500e+01 1.081723785400390625e+01 8.914711952209472656e+00 1.394247055053710938e+01
1.800000000000000000e+01 3.729237747192382812e+01 -6.614076614379882812e+00 1.369929313659667969e+01 7.023216247558593750e+00 6.216753005981445312e+00 9.560036659240722656e+00
1.900000000000000000e+01 3.743864822387695312e+01 -6.479089736938476562e+00 1.058297252655029297e+01 5.375054836273193359e+00 4.787408351898193359e+00 7.680830478668212891e+00
2.000000000000000000e+01 3.758492279052734375e+01 -6.344102859497070312e+00 8.898934364318847656e+00 4.700705051422119141e+00 4.079891681671142578e+00 6.704498767852783203e+00
2.100000000000000000e+01 3.710248565673828125e+01 -6.710222244262695312e+00 1.682162094116210938e+01 1.784991264343261719e+01 1.040146064758300781e+01 1.553393459320068359e+01
2.200000000000000000e+01 3.721968078613281250e+01 -6.549341201782226562e+00 1.223071002960205078e+01 1.179618644714355469e+01 7.208069324493408203e+00 1.143114280700683594e+01
2.300000000000000000e+01 3.733687591552734375e+01 -6.388460636138916016e+00 9.975997924804687500e+00 9.570726394653320312e+00 5.864017486572265625e+00 9.284774780273437500e+00
2.400000000000000000e+01 3.745406723022460938e+01 -6.227579593658447266e+00 8.072259902954101562e+00 7.851644992828369141e+00 4.777171134948730469e+00 8.123878479003906250e+00
2.500000000000000000e+01 3.705213928222656250e+01 -6.680615901947021484e+00 1.358568763732910156e+01 2.444141006469726562e+01 1.140812969207763672e+01 1.516375637054443359e+01
2.600000000000000000e+01 3.713577270507812500e+01 -6.499997615814208984e+00 1.074104022979736328e+01 1.703837203979492188e+01 8.333824157714843750e+00 1.161094951629638672e+01
2.700000000000000000e+01 3.721940612792968750e+01 -6.319378852844238281e+00 8.174165725708007812e+00 1.373106575012207031e+01 6.571569442749023438e+00 9.937568664550781250e+00
2.800000000000000000e+01 3.730303573608398438e+01 -6.138760566711425781e+00 7.035811901092529297e+00 1.205190086364746094e+01 5.726313591003417969e+00 8.492570877075195312e+00
2.900000000000000000e+01 3.699699401855468750e+01 -6.661376953125000000e+00 1.149832344055175781e+01 3.006534385681152344e+01 1.246909999847412109e+01 1.291729927062988281e+01
3.000000000000000000e+01 3.704386138916015625e+01 -6.467932701110839844e+00 8.650690078735351562e+00 2.176093292236328125e+01 9.123486518859863281e+00 1.043313312530517578e+01
3.100000000000000000e+01 3.709073257446289062e+01 -6.274488449096679688e+00 7.015083312988281250e+00 1.766848945617675781e+01 7.405071735382080078e+00 9.120616912841796875e+00
